Category,StoreType,OperatingHours,Telephone,Address,lng,lat
NTUC,,9:00 AM - 10:00 PM,66844052,"NUH MEDICAL CENTRE, 1 Lower Kent Ridge Road, #02-16, NUH Medical Centre, Singapore 119082",103.784468,1.293551
NTUC,Click and Collect,12:00 AM - 11:59 PM,68464381,"FAIRPRICE EXPRESS MACPHERSON, 110/114 MacPherson Road, Singapore 348501",103.871942,1.328632
NTUC,Click and Collect,7:00 AM - 11:00 PM,"64532521, 64531741","HYPER ANG MO KIO, 53 Ang Mo Kio Ave 3, #B2- 26, Ang Mo Kio Hub, Singapore 569933",103.848669,1.36958
NTUC,Click and Collect,8:00 AM - 10:30 PM,"66047548, 66047546","HYPER CHANGI, 8 Changi Business Park Ave 1, #01- 51 #02-51, Singapore 486018",103.963496,1.335062
NTUC,,7:00 AM - 11:00 PM,62858830,"POTONG PASIR COMMUNITY CLUB, 6 Potong Pasir Ave 2, #01-01, Singapore 358361",103.867259,1.332669
NTUC,Click and Collect,7:00 AM - 11:00 PM,"63391729, 63390385","HYPER JEM, 50 Jurong Gateway Road, #B1 -21/22 #B3 -01, Singapore 608549",103.743051,1.332924
NTUC,Click and Collect,12:00 AM - 11:59 PM,"64688415, 64684923","BUKIT TIMAH PLAZA, 1 Jalan Anak Bukit, #B1-01 #B2-01, Bukit Timah Plaza, Singapore 588996",103.778387,1.338206
NTUC,Click and Collect,12:00 AM - 11:59 PM,"62870702, 62870703","HOUGANG, 202 Hougang Street 21, #01-00, Singapore 530202",103.884083,1.357417
NTUC,Click and Collect,8:00 AM - 11:00 PM,"67340536, 67340260","ZHONGSHAN PARK, 20 Ah Hood Road, #02-01, Zhong Shan Park, Singapore 329984",103.846506,1.32705
NTUC,Click and Collect,8:00 AM - 10:00 PM,"67339358, 67339861","VALLEY POINT, 491 River Valley Road, #01-14, Valley Point, Singapore 248371",103.827452,1.293144
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"63416177, 63416178","SELETAR MALL, 33 Sengkang W Ave, #B2-24, Seletar Mall, Singapore 797653",103.876022,1.391209
NTUC,Click and Collect,9:00 AM - 10:00 PM,"65870167, 65870163","CENTURY SQUARE, 2 Tampines Central 5, #B1/07/08/17, Century Square, Singapore 529509",103.944048,1.352061
NTUC,Click and Collect,8:00 AM - 10:00 PM,"66047457, 66047405","AMARA, 100 Tras Street, #B1-01, 100Am, Singapore 079027",103.843772,1.275237
NTUC,Click and Collect,8:00 AM - 10:30 PM,"64547738, 64545349","THOMSON PLAZA, 301 Upper Thomson, #03-37/38, Thomson Plaza, Singapore 574408",103.831025,1.354703
NTUC,Click and Collect,12:00 AM - 11:59 PM,"63858040, 63859054","KANG KAR MALL , 100 Hougang Ave 10, #01-01 #02-01, Kang Kar Mall, Singapore 538767",103.894262,1.371715
NTUC,Click and Collect,12:00 AM - 11:59 PM,"64438038, 64438538","BEDOK NORTH A, 212 Bedok North Street 1, #01- 147, Singapore 460212",103.93164,1.325856
NTUC,Click and Collect,8:00 AM - 11:00 PM,"62508019, 62534178","TOA PAYOH A, 192 Toa Payoh Lorong 4, #01- 670/672, Singapore 310192",103.850654,1.331721
NTUC,Click and Collect,12:00 AM - 11:59 PM,64403538,"FAIRPRICE EXPRESS EAST COAST , 239/255 East Coast Road, Singapore 428932",103.907973,1.308269
NTUC,Click and Collect,12:00 AM - 11:59 PM,67636030,"FAIRPRICE EXPRESS CHOA CHU KANG, 31 Choa Chu Kang Way, Singapore 688786",103.750136,1.37759
NTUC,,10:00 AM - 9:00 PM,"67104584, 67104594","WAREHOUSE CLUB, 1 Joon Koon Circle, Level 2 and 3, Singapore 629117",103.678856,1.327349
NTUC,Click and Collect,12:00 AM - 11:59 PM,62513075,"FAIRPRICE EXPRESS TOA PAYOH 2, 399 Toa Payoh Lorong 2, Singapore 319640",103.846389,1.336315
NTUC,Click and Collect,12:00 AM - 11:59 PM,63345819,"CHEERS PEACE CENTRE, 1 Sophia Road, #01-18, Peace Centre, Singapore 228149",103.849692,1.300986
NTUC,FairPrice Xtra,12:00 AM - 11:59 PM,"67901477, 67901765","HYPER JURONG POINT, 63 Jurong West Central 3, #03-01, Jurong Point, Singapore 648331",103.705395,1.339542
NTUC,,8:00 AM - 10:00 PM,"65551180, 65551187","SUN PLAZA, 30 Sembawang Drive, #B1-01/02, Sun Plaza, Singapore 775713",103.819445,1.448159
NTUC,Click and Collect,12:00 AM - 11:59 PM,"64764471, 64792427","DAWSON, 57 Dawson Road, #01-07, Dawson Place, Singapore 142057",103.81103,1.29271
NTUC,,7:00 AM - 10:00 PM,62195987,"BUKIT PANJANG MKT, 2 Bukit Panjang Ring Road, #02-06, Singapore 679947",,
NTUC,FairPrice Xtra,12:00 AM - 11:59 PM,"63858959, 63858961","WATERWAY POINT, 83 Punggol Central, #B2-32, Waterway Point, Singapore 828761",103.902301,1.406229
NTUC,Click and Collect,12:00 AM - 11:59 PM,"66344948, 66344947","HYPER NEX, 23 Serangoon Central, #03-42, nex Mall, Singapore 556083",103.871951,1.350692
NTUC,Click and Collect,7:00 AM - 11:59 PM,"62506009, 62505270","TOA PAYOH HDB HUB, 500 Toa Payoh Lorong 6, #B1-32/#01-33, Singapore 310500",103.847064,1.333004
